id,title,author,year
1,Dirty Deeds,Shamus Younghusband,1973
2,"12 Dogs of Christmas, The",Erich Sarl,1972
3,That Darn Cat,Serene Rosenwald,1992
4,Gladiator,Debi Abbatucci,2017
5,Family Guy Presents: It's a Trap,Emlynn Mirralls,2000
6,Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin),Luciano McMeeking,1998
7,Borgman,Quinton Antusch,2019
8,We Feed the World,Dill Sim,2009
9,I Smile Back,Sven Dahlman,2021
10,Digging for Fire,Cassy Antoniottii,2010
11,D.L. Hughley: Reset,Sheree Aleso,2022
12,Emitai,Fiona Pitchford,1991
13,"Discovery of Heaven, The",Carny Feake,2005
14,Spirits of the Dead,Olive Bachanski,1998
15,Anne of Green Gables,Marty Coxen,2001
16,Secret Sunshine (Milyang),Paddie Clementet,2011
17,Beneath,Zarah Axe,2009
18,Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),Barbi Stitwell,1975
19,Paris Blues,Mannie Broadbridge,1986
20,Love Happens,Gussy Leagas,2002
21,Chasing Liberty,Ninetta Buckhurst,1974
22,Chariots of Fire,Micheil Grieveson,1979
23,Drive,Clem MacMorland,2006
24,Lara Croft Tomb Raider: The Cradle of Life,Robenia Sorbie,1994
25,Profound Desires of the Gods (Kamigami no fukaki yokubo) ,Charmion Hoy,2021
26,One Hundred Mornings,Davina Robley,2008
27,"Chechahcos, The",Ernie Dahlback,1981
28,Hotel Terminus: The Life and Times of Klaus Barbie (Hôtel Terminus),Allina Mulleary,2004
29,Before Midnight,Minne O'Dwyer,1997
30,Cherry Falls,Collen Embury,1999
31,24 7: Twenty Four Seven,Davidde Cogley,2023
32,Rahtree: Flower of the Night (Buppha Rahtree),Letty Elliff,1975
33,Peggy Sue Got Married,Carlin Lates,2007
34,Mr. Klein (Monsieur Klein),Cthrine Esposito,2024
35,Spiritual Kung Fu (Quan jing),Marena Dungey,1986
36,Un Piede in paradiso,Art Sandyford,1985
37,Comfort and Joy,Josee Thompsett,1989
38,Cast a Dark Shadow (Angel),Izak Cayford,1984
39,"Hours, The",Tammie Simkin,2003
40,Housefull 2,Othilia Suthren,2010
41,Ice Quake ,Land Kohring,1991
42,Blame (6 Films to Keep You Awake) (Películas para no dormir: La culpa),Jolee Geipel,1974
43,Unfaithful,Sarette Grunnill,1977
44,Half Moon (a.k.a. Niwemang),Clemmie Tweed,1991
45,Hilary and Jackie,Shalne Fullerd,2017
46,Red Lights (Feux rouges),Gilda Lorinez,1970
47,Spies (Spione),Annabell Woodlands,1983
48,Terkel in Trouble (Terkel i knibe),Lonna Dunabie,2010
49,"Return of the Living Dead, The",Gerardo MacIntyre,1990
50,Joshua,Wolfy Behrendsen,2012
51,"Kingdom II, The (Riget II)",Gil Swinfon,1986
52,"Life of Another, The (La vie d'une autre)",Burke Hexam,1973
53,Empire of the Ants,Sharl Hughes,1990
54,We Own the Night,Daryle Tuminini,2016
55,"Stone Angel, The",Ella Caruth,1975
56,"Flintstones, The",Timmie Bengough,2017
57,"Last Valley, The",Micki Mendes,1975
58,From Dusk Till Dawn 3: The Hangman's Daughter,Linell Macauley,1991
59,His Private Secretary,Catherin Vales,2008
60,Forever Young,Rhonda Coraini,2016
